,psraid,int_date,area,tz,cregion,state,fips,msa,usr,usr1,strata,lang,sample,form,samptype,spouse,qs1,qs2,qs3a,qs3b,sex,marital,m2,m3,m4,lwp2,lwp3,kids,k2,k3,mom,dad,e3,q1,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q3,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q4h,q4i,q6,q7f1,q8f2,q11,q12,q14,q15a,q15b,q15c,q15d,q15e,q15f,q15g,q15h,q15i,q16,q17,q20,q20vb,q20_1,q20_2,q20_3,q23,q23vb,q23_1,q23_2,q23_3,q24,q27,q28,q29,q30f1,q31f2,q32,q33,q34,q35,q36,q36vb,q36_1,q36_2,q36_3,q37,q38,q39,q40,q41,q41vb,q41_1,q41_2,q41_3,q42,q43,q44f1,q45,q46f2,q47,net1,net2,e1,e2,ideal,e5,fam1,fam2,fam3,fam4,k4,k5,ownrent,citizen,usborn1a,usborn1b,usborn2,age,educ,hisp,race,relig,chr,born,attend,income,regist,regicert,party,partyln,ideo,pvote04a,milnow,veteran,contact,name,website,usbrn1bo,raceos,religos,q2cnt,recage2,recage3,q3new,gen,netsum,milvet,military,density3,rbcounty,receduc,racethn,weight
11,17,21607,718,e,1,36,36047,35620,U,1,2,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,1,1,2,NA,3,NA,2,2,2,3,2,8,NA,NA,8,NA,NA,NA,7,7,NA,1,3,1,2,3,3,1,3,3,1,1,NA,4,3,4,2,2,3,2,3,1,2,2,2,2,2,1,TECHNICAL AND PRACTICAL REASONS MORE THAN RELIGIOUS REASONS,98,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,25,NA,1,1,1,1,1,GETTING THEM THE PROPER EDUCATION,14,NA,NA,7,2,2,2,1,MARRIAGE STARTS LOSING ITS IMPORTANCE,15,NA,NA,4,3,1,3,NA,2,1,1,1,3,3,1,1,1,2,2,NA,NA,1,2,2,175,2,63,7,2,1,2,NA,2,5,10,2,NA,2,NA,4,2,7,7,2,NA,2,SLOVENIA,                                ,                                ,0,3,2,10,1,1,2,99,5,1,4,1,8.625
12,18,21607,860,e,1,9,9005,0,R,3,1,1,4,2,1,2,NA,NA,NA,NA,2,1,NA,1,1,2,NA,2,1,NA,1,1,2,2,10,NA,10,NA,6,8,8,8,6,99,3,3,1,2,3,1,3,1,3,2,NA,1,2,2,1,1,1,2,1,1,1,1,3,1,2,2,1,PLANNED ON SPENDING REST OF LIFE TOGETHER,10,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,26,1,2,1,2,1,MEDICAL INSUREN E,40,NA,NA,8,2,2,1,1,MEN HAVE UREALISTIC EXPECTAIONS,98,NA,NA,3,3,NA,1,1,1,1,1,3,2,2,1,1,1,2,3,8,2,1,1,1,NA,2,43,6,2,1,7,2,NA,5,5,1,1,3,9,4,1,7,7,2,NA,1,                                ,                                ,BUDDIST,2,2,1,99,2,1,2,99,2,3,4,1,11.875
13,20,21607,814,e,1,42,42047,0,R,3,1,1,3,2,1,2,NA,NA,NA,NA,2,1,NA,2,NA,2,NA,3,NA,2,2,2,1,1,10,NA,NA,10,8,NA,NA,10,10,1,2,3,3,2,2,2,3,1,3,1,NA,9,1,2,1,1,1,3,2,3,1,2,3,2,1,2,1,BECAUSE 38 YEARS AGO YOU DIDNT THOSE THINGS,12,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,25,2,1,1,2,1,"WORRYING ABOUT THEM GETTING INTO DRUGS, BUT IF THEY HAVE A HOMELIFE WITH TWO PARENTS WHO HAVE TAUGHT THEM THE RIGHT WAY WHEN THEY GO OUT THEY KNOW THE RIGHT WAY",29,39,NA,7,2,2,1,1,BECAUSE NOBODY IS PAYING ATTENTION TO WHAT THEY ARE DOING - THERE IS NO LOVE THERE AND NOBODY WANTS THE RESPONSIBILITY,25,NA,NA,3,3,NA,3,4,3,2,2,3,3,1,1,1,1,2,3,NA,NA,1,1,1,NA,1,59,3,2,1,2,NA,2,4,10,1,1,1,NA,3,1,7,2,1,1,2,                                ,                                ,                                ,4,3,2,1,3,2,1,3,1,4,2,1,13.5625
14,22,21607,301,e,3,24,24033,47900,S,2,6,1,1,2,1,NA,NA,NA,NA,NA,1,6,NA,NA,NA,1,NA,1,NA,NA,1,2,1,2,NA,NA,NA,NA,10,10,NA,9,9,6,3,2,3,3,3,3,3,3,2,2,NA,2,4,4,1,1,2,2,1,3,1,2,1,1,2,2,NA,                                ,NA,NA,NA,1,WASN''T READY TO GET MARRIED,16,NA,NA,2,1,NA,9,NA,30,2,2,2,2,1,STILL IN VALUES,11,NA,NA,NA,1,1,1,1,KIDS ARE NOT BEING INSTILLED WITH IMPORTANCE OF LIFE,18,NA,NA,4,4,NA,2,1,1,1,1,3,3,1,NA,2,2,NA,1,NA,NA,1,1,1,NA,1,36,5,2,2,1,NA,1,3,6,1,1,2,NA,3,1,7,7,1,1,1,                                ,                                ,                                ,4,2,1,6,3,1,2,99,4,1,3,2,3.4375
15,23,21607,859,e,3,21,21081,17140,S,2,1,1,2,1,1,NA,NA,NA,NA,NA,2,5,NA,1,1,1,NA,4,1,2,1,2,3,2,NA,NA,10,10,NA,10,NA,10,10,3,1,3,3,3,3,3,1,3,3,1,1,NA,3,3,1,1,1,2,1,3,1,1,1,3,2,2,1,BECAUSE MY DAD WOULD HAVE WOOPED ME; HE''S VERY RELIGIOUS,19,NA,NA,1,WE PLAN TO GET MARRIED AND WE SET A DATE....I DON''T KNOW; TO GET TO KNOW HIM,29,12,NA,2,NA,NA,NA,25,NA,2,2,2,2,1,THEIR ATTITUDE; JUST HOW THEY ALWAYS SEEM TO KNOW EVERYTHING...THE ATTITUDE OF CHILDREN THESE DAYS IS JUST REMARKABLE,98,NA,NA,8,2,2,1,1,I JUST FEEL THAT PEOPLE JUST DON''T CARE ANYMORE,18,NA,NA,4,4,2,2,NA,3,1,1,3,3,1,NA,3,2,NA,NA,14,NA,1,1,1,NA,1,40,4,2,1,1,NA,1,2,4,1,1,3,2,9,1,7,7,1,1,1,                                ,                                ,                                ,5,2,1,3,3,1,2,99,1,5,2,1,14.8125
16,27,21607,631,e,1,36,36103,35620,S,2,1,1,2,1,1,NA,NA,NA,NA,NA,1,5,NA,2,NA,2,NA,2,2,NA,2,2,9,2,NA,NA,99,NA,NA,NA,NA,99,10,NA,2,3,3,2,2,2,3,3,2,1,1,NA,2,2,3,1,1,3,2,3,3,3,2,2,2,1,1,IT WAS JUST THE THING THEY WANTED TODO,21,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,99,NA,2,9,3,3,1,DISCIPLINE,27,NA,NA,10,3,3,1,1,WOMEN ARE FREE THEN THEY HAVE EVER BEEN AND TRYING TOBE IMMITATION MEN,12,NA,NA,3,2,3,4,NA,2,2,2,1,3,3,NA,1,1,2,3,99,2,1,1,1,NA,1,94,2,2,1,1,NA,2,6,2,1,1,3,9,2,1,7,1,2,NA,2,                                ,                                ,                                ,1,4,2,9,3,2,1,2,4,2,1,1,19.13
17,28,21607,404,e,3,13,13121,12060,U,1,6,1,4,2,1,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,2,1,NA,1,1,1,2,NA,10,10,NA,10,9,9,8,8,3,2,2,3,2,3,3,3,3,3,1,NA,2,4,3,1,1,3,3,1,3,1,1,1,1,2,2,NA,                                ,NA,NA,NA,1,CONVINCES AND EASY AT TIME,17,NA,NA,2,NA,1,3,NA,30,2,3,2,3,1,TO FIND HAPPY MEDIUM BETWEEN RAISEING CHILDREN AND CAREERS AND HAVING HAPPY UNION,16,26,NA,8,3,3,2,1,RELIGIOUS,18,NA,NA,3,4,NA,2,2,2,1,1,3,3,3,NA,1,5,NA,3,0,2,1,1,1,NA,2,29,7,1,1,1,NA,1,4,7,2,NA,3,2,4,1,7,7,1,1,1,                                ,                                ,                                ,5,1,1,3,2,1,2,99,4,2,4,3,3.0625
18,31,21607,410,e,3,24,24027,12580,S,2,2,1,5,1,2,NA,1,NA,NA,NA,1,6,NA,NA,NA,2,NA,1,NA,NA,1,1,2,2,NA,NA,NA,NA,4,10,10,10,10,8,3,3,3,2,3,3,3,3,3,1,1,NA,4,4,2,1,1,2,1,2,1,1,2,2,2,2,NA,                                ,NA,NA,NA,NA,                                ,NA,NA,NA,NA,1,NA,3,29,NA,1,2,1,2,1,THE MESSED UP EDUCATION SYSTEM,14,NA,NA,NA,2,2,1,1,MORE SEX,11,NA,NA,4,3,3,3,NA,1,1,1,3,1,3,NA,1,1,2,2,NA,NA,3,1,1,NA,1,18,5,2,1,1,NA,2,5,8,1,1,1,NA,1,2,7,7,1,1,2,                                ,                                ,                                ,4,1,1,8,3,1,2,99,4,2,3,1,14.75
19,32,21607,803,e,3,45,45079,17900,S,2,3,1,2,2,1,2,NA,NA,NA,NA,2,1,NA,1,2,2,NA,4,1,2,1,1,1,1,10,NA,10,10,8,8,7,7,10,1,2,2,2,2,2,2,3,1,2,2,NA,1,1,1,3,1,3,1,2,2,1,2,2,1,2,2,1,"LOVE, IMPORTANT COMMITTMENT",16,10,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,24,2,1,1,2,1,"FOCUSED ON THE MORAL ISSUES WITH ALL THE OUTSIDE TRASH IN THE WORLD, NOT INFLUENCED BY DRUGS AND VIOLENCE, KEEP WHAT IS IMPORTANT",11,34,29,8,2,2,1,1,"MORALS OF THE COUNTRY HAVE RUN DOWN, ITS ON TV AND EVERYWHERE",18,26,NA,2,2,NA,3,2,3,1,1,3,3,1,1,1,1,2,3,17,NA,1,1,1,NA,1,45,7,2,1,1,NA,1,1,9,1,1,1,NA,2,1,7,7,9,NA,2,                                ,                                ,                                ,4,2,1,1,3,1,2,99,3,2,4,1,2.6875
20,34,21607,860,e,1,9,9005,0,R,3,1,1,2,2,1,2,NA,NA,NA,NA,2,1,NA,2,NA,2,NA,3,NA,2,1,2,1,2,9,NA,NA,9,8,8,NA,8,8,4,2,2,2,2,2,2,2,3,2,1,NA,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,TO HAVE A FAMILY,20,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,30,2,2,2,2,1,SOCIETY IS GETTING MORE COMPLICATED,34,NA,NA,8,2,2,1,1,"THE MAN DOESN''T WANT TO HAVE RESPONSIBILITY TO RAISE CHILDREN, UNEXPECTED PREGNANCY",13,98,NA,2,3,NA,4,4,2,1,1,3,3,1,1,1,1,2,3,NA,NA,1,1,2,187,2,49,6,2,3,1,NA,1,2,8,1,1,4,1,2,2,7,7,2,NA,1,TAIWAN,                                ,                                ,2,2,1,4,1,1,2,99,2,3,4,4,10.0625
21,35,21607,606,e,3,21,21089,26580,S,2,1,1,3,1,1,2,NA,NA,NA,NA,2,1,NA,1,1,1,1,2,1,NA,2,2,3,1,10,NA,10,NA,NA,NA,NA,9,7,1,2,2,3,2,2,2,3,1,2,2,1,NA,1,2,3,1,2,1,2,3,1,2,3,2,1,1,1,FOR COMMITEMENT,10,NA,NA,1,FOR COST REASONS,11,NA,NA,2,NA,NA,NA,24,NA,3,2,3,3,1,THE LEVEL OF EXPOSURE TO THINGS MAKES CHILDREN GROW UP TOO QUICK,34,NA,NA,8,2,2,1,1,"NO EXPECTATIONS, LESS BOUNDARIES; IF IT FEELS GOOD TAKE IT. NOT THINKING ABOUT IT UP FRONT",98,NA,NA,1,2,3,4,NA,3,1,1,3,3,3,1,1,1,1,1,12,2,1,1,1,NA,1,46,5,2,1,1,NA,1,1,8,1,1,1,NA,1,1,7,7,2,NA,1,                                ,                                ,                                ,3,2,1,1,3,1,2,99,2,3,3,1,8.5
22,40,21607,941,e,3,12,12115,42260,S,2,1,1,3,2,1,NA,NA,NA,NA,NA,2,2,1,2,2,NA,NA,3,NA,2,2,2,3,1,NA,10,NA,10,NA,NA,NA,10,10,2,9,2,3,3,3,3,3,3,2,2,NA,1,3,2,3,1,1,2,2,3,1,2,3,2,2,2,1,BECAUSE WHEN I GOT MARRIED THERE WAS NO SUCH THING AS LIVING TOGETHER,12,NA,NA,1,I WAS MARRIED BEFORE AND PAST THE AGE WHERE IT WAS NESSCESAY,15,NA,NA,2,NA,2,3,NA,33,2,3,1,3,1,INSTILLING THE DESIRE MORAL AND CONTRIBITING TO SOCIETY,11,NA,NA,8,3,3,1,1,HAVNT THE WAGEST IDEA,99,NA,NA,4,3,NA,2,1,2,1,1,1,3,2,NA,1,1,2,3,NA,NA,1,1,1,NA,1,74,7,2,1,3,NA,NA,6,9,1,1,3,2,4,1,7,7,2,NA,2,                                ,                                ,                                ,4,4,2,2,3,1,2,99,3,4,4,1,7.25
23,42,21607,517,e,2,26,26037,29620,S,2,1,1,1,2,1,1,NA,NA,NA,NA,1,1,NA,2,NA,2,NA,4,1,1,1,2,1,2,10,NA,10,10,8,10,NA,8,8,1,1,3,1,2,2,3,1,1,2,1,NA,1,1,1,1,1,3,2,2,3,2,2,2,2,1,2,1,WE WANTED TO BE TOGETHER FOR THE REST OF OUR LIVES,10,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,30,3,2,3,2,1,UNCONTROLLED PROLIFERATION OF THE MEDIA AROUND YOU,36,NA,NA,7,2,2,1,1,PEOPLE NOT TAKING RESPONSIBILITY,22,NA,NA,3,3,NA,3,3,3,1,1,3,3,2,3,1,1,2,3,17,NA,1,1,1,NA,1,58,7,2,1,2,NA,2,2,8,1,1,3,9,3,1,7,7,2,NA,1,                                ,                                ,                                ,4,3,2,1,3,1,2,99,2,4,4,1,8.5
24,43,21607,239,e,3,12,12071,15980,S,2,2,1,3,1,1,2,NA,NA,NA,NA,2,1,NA,1,1,2,NA,3,NA,2,2,2,3,2,7,NA,NA,9,NA,NA,NA,8,7,NA,2,9,2,2,2,9,3,3,9,1,1,NA,9,9,9,1,9,9,1,3,2,3,2,3,2,3,1,MY FATHER WOULD OF KILLED THE BOTH OF US,19,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,25,NA,2,3,3,3,1,STAYING HOME WITH THEM AND GUDING THEM,39,NA,NA,8,3,9,9,1,FAMILY VALUES HAVE GONE OUT WINDOW,18,NA,NA,2,2,9,3,NA,9,1,1,3,3,2,1,1,1,1,1,NA,NA,1,1,1,NA,2,64,5,2,1,1,NA,2,4,6,1,1,3,9,3,1,7,2,9,NA,1,                                ,                                ,                                ,1,3,2,4,2,1,1,3,3,4,3,1,8.5625
25,44,21607,706,e,3,13,13055,0,R,3,1,1,5,2,2,NA,1,NA,NA,NA,1,6,NA,NA,NA,2,NA,1,NA,NA,1,9,1,2,NA,NA,NA,NA,8,10,NA,99,10,6,2,3,3,2,2,2,3,3,2,1,NA,2,1,1,2,1,1,1,1,9,3,1,1,2,2,2,NA,                                ,NA,NA,NA,NA,                                ,NA,NA,NA,NA,1,NA,3,NA,32,2,1,3,3,1,MAKE SURE THEY ARE HAPPY,26,NA,NA,NA,3,9,2,1,DRUGS,21,NA,NA,3,4,NA,4,4,4,2,2,3,3,1,NA,2,3,1,1,NA,NA,1,1,1,NA,1,24,3,2,1,2,NA,9,1,10,1,1,2,NA,2,2,7,7,1,1,2,                                ,                                ,                                ,2,1,1,6,3,2,2,99,1,4,2,1,7.875
26,46,21907,864,e,3,45,45045,24860,S,2,3,1,1,2,1,2,NA,NA,NA,NA,2,1,NA,1,1,2,NA,3,NA,2,2,2,3,1,10,NA,NA,10,NA,NA,NA,9,9,1,3,3,3,3,2,2,1,1,2,2,NA,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,1,B/C I HAD TWO CHILDREN AND WOULDN''T DO IT B/C OF THEM,17,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,30,2,2,1,2,1,"THE VALUES THAT ARE OUT THERE NOW, TRYING TO TEACH THEM GOOD VALUES",34,NA,NA,8,3,2,1,1,"VALUES...SEX HAS BECOME A GAME, THERE''S NO LOVE, PATIENCE IN WAITING",18,11,NA,2,1,NA,3,3,3,1,1,1,3,3,1,1,1,2,1,NA,NA,1,1,1,NA,1,64,6,2,1,1,NA,1,1,8,1,1,1,NA,2,1,7,7,1,1,1,                                ,                                ,                                ,4,3,2,1,3,1,2,99,3,5,4,1,3.375
27,47,21607,352,e,3,12,12053,45300,S,2,1,1,3,1,1,NA,NA,NA,NA,NA,2,5,NA,2,NA,2,NA,3,NA,2,2,2,3,1,NA,NA,NA,10,NA,NA,NA,8,8,NA,2,3,2,2,2,3,1,1,2,1,1,NA,4,4,2,1,1,1,1,3,1,2,1,1,2,2,1,NOBODY DID THAT FIFTY YEARS AGO,12,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,28,NA,2,2,2,3,1,KEEPING THEM ON THE STRAIT AND NARROW,33,NA,NA,10,3,3,1,1,TOO MUCH PROMISCUOS BEHAVIOR,11,NA,NA,3,1,2,2,NA,3,2,2,1,3,3,NA,1,1,2,3,NA,NA,1,1,1,NA,2,76,3,2,1,2,NA,2,6,5,2,NA,3,9,2,2,7,7,2,NA,2,                                ,                                ,                                ,1,4,2,4,2,2,2,99,2,3,2,1,8.4375
